origen,destino
HAWC,BUAP
HAWC,CIC-IPN
HAWC,CINVESTAV
HAWC,DCI-UG
HAWC,IA
HAWC,ICN
HAWC,IGEOFISICA
HAWC,INAOE
HAWC,UAEH
HAWC,UDG
HAWC,UMICH
HAWC,UNACH
HAWC,UPIITA
HAWC,UPP
HAWC,COLOSTATE
HAWC,GATECH
HAWC,GMU
HAWC,LANL
HAWC,MSU
HAWC,NASA
HAWC,NH
HAWC,OSU
HAWC,PENNSTATE
HAWC,ROCHESTER
HAWC,STANFORD
HAWC,UTAH
HAWC,UA
HAWC,UCI
HAWC,UMD
HAWC,UNM
HAWC,UW
HAWC,IFJ
HAWC,MPI
LANCE,LANOT
LANCE,ENES-MOR
LANCE,FCIENCIAS
LANCE,CRECTEALC
LANCE,ENESGEO-MOR
LANCE,SSN
LANCE,IYAF
LANCE,AEM
LANCE,CENAPRED
LANCE,SEGOB
LANCE,PROTECCIÓN-CIVIL
LANCE,ISES
LANCE,NOAA
LANCE,ISWI
LANCE,UNOOSA
LANCE,CANADA
LANCE,BRASIL
LANCE,INGLATERRA
LANCE,JAPÓN
LANIES,UNACH
LANIES,IPN
LANIES,WUR
LANIES,BIOSUSTENTA
LANIES,SERNAPAM
LANIES,CUIDEMOS
LANIES,MONARCHCONSERVATION
LANIES,CANIRAC
MADiT,HAWC
MADiT,LNA-SPM
MADiT,CCADET
MADiT,UWC
MADiT,NESF
MADiT,UC
MADiT,UWATERLOO
MADiT,CONACyT
MADiT,CIATEC
LANIREM,LAVIS
LANIREM,CNS
LANIREM,MEDUASLP
LANIREM,IZTUAM
LANIREM,FACMED
LANIREM,ISSSTE
LANIREM,IMSS
LANMO,LANASE
LANMO,CIESAS
LANMO,BUAP
LANMO,UIIM
LANMO,EAHNM
LANMO,UMICH
LANMO,ENES-MOR
LANMO,UGto
LANMO,IIF
LANMO,IIA
LANMO,HUMANIDADES
LANMO,FFYL
LANMO,IGEOGRAFIA
LANMO,TVUNAM
LANMO,RUNAM
LANMO,UNACHI
LANMO,CULTURAMICH
LANMO,FONCA
LANMO,CULTURAMX
LANMO,UNESCO
LANCIS,UAD
LANCIS,CICESE
LANCIS,INSP
LANCIS,CINVESTAV
LANCIS,CIBNOR
LANCIS,REDSOCIOECOS
LANCIS,INECOL
LANCIS,UV
LANCIS,UAEM
LANCIS,COLMEX
LANCIS,ECOSUR
LANCIS,CICIMAR
LANCIS,XOCUAM
LANCIS,IIES-MORELIA
LANCIS,DGDC
LANCIS,CCGUNAM
LANCIS,CEIICH
LANCIS,IBUNAM
LANCIS,IINGEN
LANCIS,PUMAGUA
LANCIS,FES IZTACALA
LANCIS,IIEC
LANCIS,PUMA
LANCIS,IIS
LANCIS,PSICOLOGIA
LANCIS,IGEOGRAFIA
LANCIS,FMVZUNAM
LANCIS,ARQUITECTURA
LANCIS,FCIENCIAS
LANCIS,IIMAS
LANCIS,IGEOLOGIA
LANCIS,PCBIOL
LANCIS,PCS
LANCIS,IECOLOGIA
LANCIS,ASU
LANCIS,ARIZONA
LANCIS,DELHI
LANCIS,MSU
LANCIS,IHE
LANCIS,UNIPD
LANCIS,MQ
LANCIS,CALPOLY
LANCIS,UCI
LANCIS,UNIP
LANCIS,SOLPLUVIAL
LANCIS,ROTOPLAS
LANCIS,UNILEVER
LANCIS,CONAFOR
LANCIS,SEMARNAT
LANCIS,INEGI
LANCIS,SACMEX
LANCIS,COFEPRIS
LANCIS,INECC
LANCIS,CONAP
LANCIS,CDMXGOB
LANCIS,AMEXCID
LANCIS,INIFAP
LANCIS,USDA
LANCIS,EFCPQRO
LANCIS,RESCITI
LANCIS,UYOOLCHÉ
LANCIS,OVG
LANCIS,OP
LAVIS,LANIREM
LAVIS,ITESM
LAVIS,UCQ
LAVIS,FCNUAQ
LAVIS,FIUAQ
LAVIS,CINVESTAV
LAVIS,IXTLI
LAVIS,UPQ
LAVIS,IM
LAVIS,UMDIFCJ
LAVIS,INB
LAVIS,GEOCIENCIAS
LAVIS,LONI
LAVIS,PIIXAN
LAVIS,MOMENTUM
LAVIS,CHUFANI
LAVIS,CONCYTEQ
LAVIS,CONAGUA
LAVIS,CENAPRED
LAVIS,IMO
LNS-FESI,CINVESTAV
LNS-FESI,FACMED
LNS-FESI,UAS
LNS-FESI,AUdeO
LNS-FESI,UELBOSQUE
LNS-FESI,HELM
LNS-FESI,DRESEN
LNS-FESI,IMSS
LNS-FESI,ALMA
LNS-FESI,UVG
LNS-FESI,SIBP
LANCIC,LEMA 
LANCIC,MADiT
LANCIC,GEOINT
LANCIC,IF
LANCIC,IIE
LANCIC,IQ
LANCIC,ENES-MOR
LANCIC,FES CUATI
LANCIC,CICORR
LANCIC,COLMICH
LANCIC,CFATA
LANCIC,UAEH
LANCIC,UMICH
LANCIC,UADY
LANCIC,RLABCR
LANCIC,UDEL
LANCIC,UCLA
LANCIC,ARIZONA
LANCIC,METMUSEUM
LANCIC,MOMA
LANCIC,SINCROTRON
LANCIC,US
LANCIC,UAMES
LANCIC,UVES
LANCIC,UNIPG
LANCIC,UNIBO
LANCIC,POLIMIT
LANCIC,UNIFI
LANCIC,EINVESTEXTRA
LANCIC,OXICAL
LANCIC,ININ
LANCIC,INBA
LANCIC,INAH
LANCIC,ISC
LANCIC,ACERNAL
LANCIC,CCIC España
LANCIC,CIMFRANCIA
LANCIC,CCMFRANCIA
LANCIC,BRITISHMUSEUM
LANCIC,MICOLCHIS
LANCIC,CHARISMAEUR
LANCIC,HYPERON
LANCIC,RLABEUMVO
